51.02272,516
51.02307,1380
51.02341,2453
51.02376,2866
51.02411,2231
51.02445,1028
51.5839,1122
51.58425,1689
51.5846,1787
51.58495,1346
51.5853,642
53.03901,2777
53.03938,5558
53.03975,4223
53.04011,2570
53.04048,943
55.01778,588
55.01817,1512
55.01855,2325
55.01894,2355
55.01933,1580
55.01971,607
55.05186,471
55.05225,1477
55.05264,2513
55.05302,2768
55.05457,3955
55.05496,7941
55.05535,10770
55.05573,8520
55.05612,2935
55.05651,946
55.37252,955
55.37291,1462
55.3733,1643
55.37369,1295
55.37408,620
57.03332,1104
57.03373,2418
57.03413,3349
57.03454,3098
57.03495,1821
57.03536,560
57.06929,1074
57.06969,3438
57.0701,7080
57.07051,10757
57.07092,9762
57.07133,5735
57.07174,2122
57.07215,979
59.04791,1268
59.04834,3475
59.04877,12449
59.0492,31108
59.04963,51389
59.05006,59477
59.05049,41915
59.05092,22433
59.05135,6269
59.05178,1392
59.05221,847
60.08085,788
60.0813,1415
60.08174,1692
60.08218,1413
60.08262,776
65.03779,3453
65.03828,11474
65.03879,19907
65.03928,23821
65.03978,17013
65.04028,9298
65.04077,3143
65.04128,1078
67.05233,1219
67.05285,2842
67.05338,10378
67.05389,32527
67.05441,57067
67.05493,76428
67.05546,61648
67.05598,36253
67.0565,12742
67.05702,2726
68.05666,683
68.0572,1762
68.05773,3006
68.05827,3619
68.05879,3114
68.05933,1850
68.05986,667
69.03198,688
69.03252,3378
69.03307,12028
69.03362,21775
69.03416,29401
69.0347,23530
69.03524,13782
69.03579,4778
69.03633,1123
69.06844,1020
69.06898,5164
69.06953,14866
69.07007,25070
69.07062,30990
69.07116,23079
69.0717,13002
69.07225,4109
69.07279,731
71.04784,754
71.0484,3681
71.04897,8266
71.04954,13142
71.0501,13540
71.05067,8848
71.05124,4290
71.05181,1113
73.02703,837
73.02763,2429
73.02821,6343
73.02881,9646
73.0294,9259
73.02999,5675
73.03059,2262
73.03117,833
73.06434,787
73.06493,1566
73.06552,2111
73.06612,2018
73.06671,1361
73.0673,602
74.09525,542
74.09586,1685
74.09646,3391
74.09706,4662
74.09767,4608
74.09827,3297
74.09888,1675
74.09948,620
75.65304,711
75.65366,1463
75.65429,1818
75.65491,1559
75.65553,945
77.03808,4625
77.03872,9763
77.03936,14193
77.04,12329
77.04064,8016
77.04128,1900
77.04192,442
78.0452,1096
78.04586,2386
78.04652,3733
78.04716,4187
78.04782,3545
78.04848,2336
78.04913,1192
79.05151,1296
79.05218,4074
79.05284,16640
79.05351,51222
79.05418,87564
79.05484,113022
79.05551,87126
79.05618,50719
79.05685,16672
79.05751,4436
79.05817,1010
80.0564,975
80.05708,4508
80.05775,8002
80.05843,9908
80.05911,7295
80.05979,3941
80.06048,1160
81.03139,592
81.03208,1752
81.03278,4597
81.03346,8105
81.03416,9596
81.03485,6837
81.03555,2734
81.03623,994
81.06602,1357
